DateTime,TEMP,DWPT,TSUN,PRCP,WSPD,WPGT,PRES,RHUM
2024-11-12 18:00:00,14.6 °C,10.2 °C,—,0 mm,22.2 km/h,—,1026.1 hPa,75 %
2024-11-12 19:00:00,14.4 °C,10.4 °C,—,0 mm,20.4 km/h,—,1026.3 hPa,77 %
2024-11-11 18:00:00,15.6 °C,11.4 °C,—,0 mm,17 km/h,—,1022.6 hPa,76 %
2024-11-11 19:00:00,13.9 °C,10.7 °C,—,0 mm,14.8 km/h,—,1024.4 hPa,81 %
2024-11-11 20:00:00,13.6 °C,10.6 °C,—,0 mm,13 km/h,—,1024.7 hPa,82 %
2024-11-11 21:00:00,13.4 °C,10.6 °C,—,0 mm,13 km/h,—,1025.1 hPa,83 %
2024-11-11 22:00:00,13.3 °C,10.7 °C,—,0 mm,13 km/h,—,1025.2 hPa,84 %
2024-11-11 23:00:00,13.2 °C,10.7 °C,—,0 mm,13 km/h,—,1025.3 hPa,85 %
2024-11-10 18:00:00,11.5 °C,8 °C,—,0 mm,26 km/h,—,1021.5 hPa,79 %
2024-11-10 19:00:00,11 °C,9.1 °C,—,0 mm,22 km/h,—,1022 hPa,88 %
2024-11-10 20:00:00,12 °C,9 °C,—,0 mm,22 km/h,—,1022 hPa,82 %
2024-11-10 21:00:00,11.9 °C,8.7 °C,—,0 mm,22 km/h,—,1022.3 hPa,81 %
2024-11-10 22:00:00,12 °C,9 °C,—,0 mm,22 km/h,—,1022 hPa,82 %
2024-11-10 23:00:00,12 °C,9 °C,—,0 mm,22 km/h,—,1022 hPa,82 %
2024-11-09 18:00:00,12.4 °C,7.9 °C,—,0 mm,30 km/h,—,1024.8 hPa,74 %
2024-11-09 19:00:00,12 °C,8.1 °C,—,0 mm,22 km/h,—,1025 hPa,77 %
2024-11-09 20:00:00,11 °C,8 °C,—,0 mm,26 km/h,—,1024 hPa,82 %
2024-11-09 21:00:00,11.2 °C,7.3 °C,—,0 mm,30 km/h,—,1024.7 hPa,77 %
2024-11-09 22:00:00,11 °C,5.9 °C,—,0 mm,24 km/h,—,1024 hPa,71 %
2024-11-09 23:00:00,11 °C,8 °C,—,0 mm,22 km/h,—,1024 hPa,82 %
2024-11-08 18:00:00,14.8 °C,8.1 °C,—,0 mm,33 km/h,—,1028.7 hPa,64 %
2024-11-08 19:00:00,14 °C,8 °C,—,0 mm,26 km/h,—,1028 hPa,67 %
2024-11-08 20:00:00,14 °C,9 °C,—,0 mm,22 km/h,—,1028 hPa,72 %
2024-11-08 21:00:00,13.6 °C,8.4 °C,—,0 mm,22 km/h,—,1028.7 hPa,71 %
2024-11-08 22:00:00,12 °C,8.1 °C,—,0 mm,15 km/h,—,1028 hPa,77 %
2024-11-08 23:00:00,12 °C,8.1 °C,—,0 mm,13 km/h,—,1028 hPa,77 %
2024-11-07 18:00:00,14.3 °C,6.9 °C,—,0 mm,33 km/h,—,1032.1 hPa,61 %
2024-11-07 19:00:00,14 °C,7.1 °C,—,0 mm,32 km/h,—,1032 hPa,63 %
2024-11-07 20:00:00,14 °C,7.1 °C,—,0 mm,28 km/h,—,1032 hPa,63 %
2024-11-07 21:00:00,13.1 °C,7.3 °C,—,0 mm,22 km/h,—,1032.2 hPa,68 %
2024-11-07 22:00:00,13 °C,8.1 °C,—,0 mm,22 km/h,—,1031 hPa,72 %
2024-11-07 23:00:00,12 °C,8.1 °C,—,0 mm,19 km/h,—,1031 hPa,77 %
2024-11-06 18:00:00,12.8 °C,4.5 °C,—,0 mm,30 km/h,—,1031.2 hPa,57 %
2024-11-06 19:00:00,12 °C,3 °C,—,0 mm,28 km/h,—,1031 hPa,54 %
2024-11-06 20:00:00,12 °C,3 °C,—,0 mm,26 km/h,—,1032 hPa,54 %
2024-11-06 21:00:00,12.1 °C,2.8 °C,—,0 mm,30 km/h,—,1032.3 hPa,53 %
2024-11-06 22:00:00,12 °C,4 °C,—,0 mm,22 km/h,—,1032 hPa,58 %
2024-11-06 23:00:00,12 °C,4 °C,—,0 mm,19 km/h,—,1032 hPa,58 %
2024-11-05 18:00:00,12.2 °C,3.4 °C,—,0 mm,30 km/h,—,1029.9 hPa,55 %
2024-11-05 19:00:00,12 °C,3 °C,—,0 mm,20 km/h,—,1030 hPa,54 %
2024-11-05 20:00:00,11 °C,3 °C,—,0 mm,19 km/h,—,1030 hPa,58 %
2024-11-05 21:00:00,11 °C,3 °C,—,0 mm,17 km/h,—,1030.6 hPa,58 %
2024-11-05 22:00:00,12 °C,4.9 °C,—,0 mm,24 km/h,—,1030 hPa,62 %
2024-11-05 23:00:00,10 °C,3.9 °C,—,0 mm,17 km/h,—,1030 hPa,66 %
2024-11-04 18:00:00,12.2 °C,4.9 °C,—,0 mm,8 km/h,—,1022.8 hPa,61 %
2024-11-04 19:00:00,11 °C,5.1 °C,—,0 mm,2 km/h,—,1024 hPa,67 %
2024-11-04 20:00:00,11 °C,5.1 °C,—,0 mm,4 km/h,—,1024 hPa,67 %
2024-11-04 21:00:00,11 °C,4 °C,—,0 mm,8 km/h,—,1024.3 hPa,62 %
2024-11-04 22:00:00,10 °C,3.9 °C,—,0 mm,7 km/h,—,1025 hPa,66 %
2024-11-04 23:00:00,9 °C,4 °C,—,0 mm,6 km/h,—,1026 hPa,71 %
2024-11-03 18:00:00,13.2 °C,4.1 °C,—,0 mm,31 km/h,—,1027.4 hPa,54 %
2024-11-03 19:00:00,13 °C,4.9 °C,—,0 mm,20 km/h,—,1028 hPa,58 %
2024-11-03 20:00:00,12 °C,4.9 °C,—,0 mm,17 km/h,—,1028 hPa,62 %
2024-11-03 21:00:00,12.1 °C,4.3 °C,—,0 mm,15 km/h,—,1028.3 hPa,59 %
2024-11-03 22:00:00,11 °C,3 °C,—,0 mm,13 km/h,—,1028 hPa,58 %
2024-11-03 23:00:00,11 °C,3 °C,—,0 mm,9 km/h,—,1028 hPa,58 %
2024-11-02 18:00:00,15.5 °C,12.6 °C,—,0 mm,8 km/h,—,1017.6 hPa,83 %
2024-11-02 19:00:00,15 °C,12 °C,—,0 mm,6 km/h,—,1018 hPa,82 %
2024-11-02 20:00:00,14 °C,12 °C,—,0 mm,4 km/h,—,1018 hPa,88 %
2024-11-02 21:00:00,13.8 °C,12.4 °C,—,0 mm,0 km/h,—,1018.5 hPa,91 %
2024-11-02 22:00:00,13 °C,11.1 °C,—,0 mm,4 km/h,—,1019 hPa,88 %
2024-11-02 23:00:00,12 °C,10.1 °C,—,0 mm,4 km/h,—,1020 hPa,88 %
2024-11-01 18:00:00,16.7 °C,10.1 °C,—,0 mm,30 km/h,—,1021.9 hPa,65 %
