DateTime,TEMP,DWPT,TSUN,PRCP,WSPD,WPGT,PRES,RHUM
2024-11-12 00:00:00,13.1 °C,11 °C,—,0 mm,13 km/h,—,1025.3 hPa,87 %
2024-11-12 01:00:00,13 °C,10.9 °C,—,0 mm,13 km/h,—,1025.2 hPa,87 %
2024-11-12 02:00:00,13 °C,10.9 °C,—,0 mm,13 km/h,—,1025.1 hPa,87 %
2024-11-12 03:00:00,13 °C,10.7 °C,—,0 mm,13 km/h,—,1025 hPa,86 %
2024-11-12 04:00:00,13 °C,10.5 °C,—,0 mm,14.8 km/h,—,1025 hPa,85 %
2024-11-12 05:00:00,13.1 °C,10.5 °C,—,0 mm,14.8 km/h,—,1025 hPa,84 %
2024-11-11 00:00:00,12.2 °C,9 °C,—,0 mm,22 km/h,—,1022.3 hPa,81 %
2024-11-11 01:00:00,12 °C,9 °C,—,0 mm,20 km/h,—,1022 hPa,82 %
2024-11-11 02:00:00,12 °C,9 °C,—,0 mm,22 km/h,—,1022 hPa,82 %
2024-11-11 03:00:00,11.6 °C,8.8 °C,—,0 mm,22 km/h,—,1022.3 hPa,83 %
2024-11-11 04:00:00,12 °C,9 °C,—,0 mm,22 km/h,—,1022 hPa,82 %
2024-11-11 05:00:00,12 °C,9 °C,—,0 mm,19 km/h,—,1022 hPa,82 %
2024-11-10 01:00:00,12 °C,8.1 °C,—,0 mm,19 km/h,—,1023 hPa,77 %
2024-11-10 02:00:00,11 °C,9.1 °C,—,0 mm,24 km/h,—,1023 hPa,88 %
2024-11-10 03:00:00,11.4 °C,8.4 °C,—,0 mm,24 km/h,—,1023.3 hPa,82 %
2024-11-10 04:00:00,11 °C,8 °C,—,0 mm,24 km/h,—,1022 hPa,82 %
2024-11-10 05:00:00,11 °C,9.1 °C,—,0 mm,24 km/h,—,1022 hPa,88 %
2024-11-09 01:00:00,12 °C,9 °C,—,0 mm,13 km/h,—,1028 hPa,82 %
2024-11-09 02:00:00,11 °C,8 °C,—,0 mm,7 km/h,—,1027 hPa,82 %
2024-11-09 03:00:00,11.3 °C,8.2 °C,—,0 mm,8 km/h,—,1027.8 hPa,81 %
2024-11-09 04:00:00,12 °C,9 °C,—,0 mm,15 km/h,—,1027 hPa,82 %
2024-11-09 05:00:00,12 °C,9 °C,—,0 mm,9 km/h,—,1026 hPa,82 %
2024-11-08 01:00:00,12 °C,8.1 °C,—,0 mm,19 km/h,—,1031 hPa,77 %
2024-11-08 02:00:00,11 °C,8 °C,—,0 mm,15 km/h,—,1030 hPa,82 %
2024-11-08 03:00:00,11.3 °C,8 °C,—,0 mm,15 km/h,—,1030.9 hPa,80 %
2024-11-08 04:00:00,11 °C,8 °C,—,0 mm,20 km/h,—,1030 hPa,82 %
2024-11-08 05:00:00,10 °C,7.9 °C,—,0 mm,15 km/h,—,1030 hPa,87 %
2024-11-07 01:00:00,11 °C,4 °C,—,0 mm,19 km/h,—,1033 hPa,62 %
2024-11-07 02:00:00,12 °C,4.9 °C,—,0 mm,19 km/h,—,1032 hPa,62 %
2024-11-07 03:00:00,11.5 °C,4.7 °C,—,0 mm,18 km/h,—,1032.8 hPa,63 %
2024-11-07 04:00:00,11 °C,5.1 °C,—,0 mm,17 km/h,—,1032 hPa,67 %
2024-11-07 05:00:00,12 °C,6.1 °C,—,0 mm,17 km/h,—,1032 hPa,67 %
2024-11-06 01:00:00,10 °C,3.9 °C,—,0 mm,19 km/h,—,1030 hPa,66 %
2024-11-06 02:00:00,10 °C,3.9 °C,—,0 mm,15 km/h,—,1030 hPa,66 %
2024-11-06 03:00:00,9.8 °C,3.7 °C,—,0 mm,15 km/h,—,1030.1 hPa,66 %
2024-11-06 04:00:00,11 °C,4 °C,—,0 mm,15 km/h,—,1029 hPa,62 %
2024-11-06 05:00:00,11 °C,3 °C,—,0 mm,15 km/h,—,1030 hPa,58 %
2024-11-05 01:00:00,10 °C,3.9 °C,—,0 mm,6 km/h,—,1026 hPa,66 %
2024-11-05 02:00:00,9 °C,4 °C,—,0 mm,6 km/h,—,1027 hPa,71 %
2024-11-05 03:00:00,8.7 °C,3.9 °C,—,0 mm,5 km/h,—,1027 hPa,72 %
2024-11-05 04:00:00,10 °C,5 °C,—,0 mm,7 km/h,—,1027 hPa,71 %
2024-11-05 05:00:00,11 °C,8 °C,—,0 mm,7 km/h,—,1027 hPa,82 %
2024-11-04 01:00:00,11 °C,4 °C,—,0 mm,9 km/h,—,1027 hPa,62 %
2024-11-04 02:00:00,10 °C,3.9 °C,—,0 mm,11 km/h,—,1026 hPa,66 %
2024-11-04 03:00:00,9.8 °C,3.7 °C,—,0 mm,11 km/h,—,1026.9 hPa,66 %
2024-11-04 04:00:00,9 °C,4 °C,—,0 mm,9 km/h,—,1025 hPa,71 %
2024-11-04 05:00:00,10 °C,6 °C,—,0 mm,11 km/h,—,1025 hPa,76 %
2024-11-03 01:00:00,12 °C,10.1 °C,—,0 mm,11 km/h,—,1021 hPa,88 %
2024-11-03 02:00:00,13 °C,11.1 °C,—,0 mm,7 km/h,—,1021 hPa,88 %
2024-11-03 03:00:00,12.7 °C,10.9 °C,—,0 mm,8 km/h,—,1021.8 hPa,89 %
2024-11-03 04:00:00,15 °C,13 °C,—,0 mm,17 km/h,—,1022 hPa,88 %
2024-11-03 05:00:00,15 °C,12 °C,—,0 mm,33 km/h,—,1023 hPa,82 %
2024-11-02 01:00:00,13 °C,11.1 °C,—,0 mm,7 km/h,—,1021 hPa,88 %
2024-11-02 02:00:00,13 °C,11.1 °C,—,0 mm,7 km/h,—,1021 hPa,88 %
2024-11-02 03:00:00,12.7 °C,10.8 °C,—,0 mm,8 km/h,—,1020.9 hPa,88 %
2024-11-02 04:00:00,12 °C,11.1 °C,—,0 mm,6 km/h,—,1020 hPa,94 %
2024-11-02 05:00:00,12 °C,11.1 °C,—,0 mm,7 km/h,—,1020 hPa,94 %
2024-11-01 01:00:00,13 °C,9.1 °C,—,0 mm,9 km/h,—,1024 hPa,77 %
2024-11-01 02:00:00,12 °C,9 °C,—,0 mm,6 km/h,—,1023 hPa,82 %
2024-11-01 03:00:00,11.8 °C,8.8 °C,—,0 mm,5 km/h,—,1023.9 hPa,82 %
2024-11-01 04:00:00,13 °C,10 °C,—,0 mm,13 km/h,—,1023 hPa,82 %
2024-11-01 05:00:00,13 °C,10 °C,—,0 mm,11 km/h,—,1023 hPa,82 %
2024-10-31 01:00:00,14 °C,8 °C,—,0 mm,13 km/h,—,1022 hPa,67 %
2024-10-31 02:00:00,13 °C,8.1 °C,—,0 mm,11 km/h,—,1022 hPa,72 %
2024-10-31 03:00:00,13.4 °C,8.2 °C,—,0 mm,11 km/h,—,1022.4 hPa,71 %
2024-10-31 04:00:00,13 °C,8.1 °C,—,0 mm,11 km/h,—,1022 hPa,72 %
