DateTime,TEMP,DWPT,TSUN,PRCP,WSPD,WPGT,PRES,RHUM
2024-11-12 12:00:00,15.4 °C,10 °C,—,0 mm,14.8 km/h,—,1026.3 hPa,70 %
2024-11-12 13:00:00,15.6 °C,9.7 °C,—,0 mm,16.7 km/h,—,1025.9 hPa,68 %
2024-11-12 14:00:00,16 °C,9.9 °C,—,0 mm,18.5 km/h,—,1025.8 hPa,67 %
2024-11-12 15:00:00,16.3 °C,9.9 °C,—,0 mm,18.5 km/h,—,1025.6 hPa,66 %
2024-11-12 16:00:00,15.7 °C,10 °C,—,0 mm,20.4 km/h,—,1025.8 hPa,69 %
2024-11-12 17:00:00,15.2 °C,10.2 °C,—,0 mm,20.4 km/h,—,1025.9 hPa,72 %
2024-11-11 12:00:00,14 °C,9.6 °C,—,0 mm,17 km/h,—,1023.3 hPa,75 %
2024-11-11 13:00:00,16 °C,10.1 °C,—,0 mm,11 km/h,—,1022 hPa,68 %
2024-11-11 14:00:00,17 °C,9.9 °C,—,0 mm,11 km/h,—,1021 hPa,63 %
2024-11-11 15:00:00,16.5 °C,10.4 °C,—,0 mm,11 km/h,—,1022 hPa,67 %
2024-11-11 16:00:00,16 °C,11 °C,—,0 mm,17 km/h,—,1021 hPa,72 %
2024-11-11 17:00:00,16 °C,11 °C,—,0 mm,19 km/h,—,1022 hPa,72 %
2024-11-10 12:00:00,11.9 °C,8.2 °C,—,0 mm,33 km/h,—,1023 hPa,78 %
2024-11-10 13:00:00,12 °C,8.1 °C,—,0 mm,35 km/h,—,1022 hPa,77 %
2024-11-10 14:00:00,13 °C,7 °C,—,0 mm,32 km/h,—,1021 hPa,67 %
2024-11-10 15:00:00,12.5 °C,7.4 °C,—,0 mm,31 km/h,—,1021.5 hPa,71 %
2024-11-10 16:00:00,12 °C,8.1 °C,—,0 mm,33 km/h,—,1021 hPa,77 %
2024-11-10 17:00:00,12 °C,8.1 °C,—,0 mm,26 km/h,—,1021 hPa,77 %
2024-11-09 12:00:00,15.7 °C,6.1 °C,—,0 mm,26 km/h,—,1026.2 hPa,53 %
2024-11-09 13:00:00,17 °C,7.1 °C,—,0 mm,22 km/h,—,1024 hPa,52 %
2024-11-09 14:00:00,16 °C,6.1 °C,—,0 mm,26 km/h,—,1024 hPa,52 %
2024-11-09 15:00:00,16.2 °C,6.3 °C,—,0 mm,26 km/h,—,1024.4 hPa,52 %
2024-11-09 16:00:00,13 °C,8.1 °C,—,0 mm,33 km/h,—,1024 hPa,72 %
2024-11-09 17:00:00,13 °C,8.1 °C,—,0 mm,32 km/h,—,1024 hPa,72 %
2024-11-08 12:00:00,16.9 °C,8.1 °C,—,0 mm,31 km/h,—,1029.8 hPa,56 %
2024-11-08 13:00:00,18 °C,8 °C,—,0 mm,30 km/h,—,1028 hPa,52 %
2024-11-08 14:00:00,18 °C,8 °C,—,0 mm,30 km/h,—,1028 hPa,52 %
2024-11-08 15:00:00,17.5 °C,8.1 °C,—,0 mm,30 km/h,—,1028.4 hPa,54 %
2024-11-08 16:00:00,16 °C,9 °C,—,0 mm,30 km/h,—,1028 hPa,63 %
2024-11-08 17:00:00,15 °C,8 °C,—,0 mm,28 km/h,—,1028 hPa,63 %
2024-11-07 12:00:00,15.5 °C,7.5 °C,—,0 mm,31 km/h,—,1033.6 hPa,59 %
2024-11-07 13:00:00,17 °C,7.9 °C,—,0 mm,32 km/h,—,1032 hPa,55 %
2024-11-07 14:00:00,17 °C,7.1 °C,—,0 mm,33 km/h,—,1032 hPa,52 %
2024-11-07 15:00:00,16.5 °C,7.4 °C,—,0 mm,33 km/h,—,1032.3 hPa,55 %
2024-11-07 16:00:00,15 °C,7.1 °C,—,0 mm,33 km/h,—,1031 hPa,59 %
