DateTime,TEMP,DWPT,TSUN,PRCP,WSPD,WPGT,PRES,RHUM
2024-11-12 06:00:00,13.2 °C,10.4 °C,—,0 mm,16.7 km/h,25.9 km/h,1025 hPa,83 %
2024-11-12 07:00:00,13.1 °C,10.5 °C,—,0 mm,16.7 km/h,25.9 km/h,1025.3 hPa,84 %
2024-11-12 08:00:00,13.1 °C,10.5 °C,—,0 mm,14.8 km/h,—,1025.5 hPa,84 %
2024-11-12 09:00:00,13 °C,10.4 °C,—,0 mm,14.8 km/h,—,1025.7 hPa,84 %
2024-11-12 10:00:00,13.8 °C,10.2 °C,—,0 mm,14.8 km/h,—,1025.9 hPa,79 %
2024-11-12 11:00:00,14.6 °C,10 °C,—,0 mm,14.8 km/h,—,1026.1 hPa,74 %
2024-11-11 06:00:00,11.5 °C,9.2 °C,—,0 mm,18 km/h,25.9 km/h,1022.2 hPa,86 %
2024-11-11 07:00:00,11 °C,9.1 °C,—,0 mm,20 km/h,29.6 km/h,1022 hPa,88 %
2024-11-11 08:00:00,12 °C,9 °C,—,0 mm,24 km/h,—,1022 hPa,82 %
2024-11-11 09:00:00,11.6 °C,9.2 °C,—,0 mm,24 km/h,—,1022.8 hPa,85 %
2024-11-11 10:00:00,13 °C,9.1 °C,—,0 mm,22 km/h,—,1023 hPa,77 %
2024-11-11 11:00:00,14 °C,10 °C,—,0 mm,17 km/h,—,1023 hPa,77 %
2024-11-10 06:00:00,10.6 °C,8.5 °C,—,0 mm,24 km/h,33.3 km/h,1022.9 hPa,87 %
2024-11-10 07:00:00,10 °C,7.9 °C,—,0 mm,17 km/h,37 km/h,1023 hPa,87 %
2024-11-10 08:00:00,10 °C,7.9 °C,—,0 mm,19 km/h,—,1023 hPa,87 %
2024-11-10 09:00:00,9.9 °C,8.3 °C,—,0 mm,18 km/h,—,1023.7 hPa,90 %
2024-11-10 10:00:00,11 °C,9.1 °C,—,0 mm,32 km/h,—,1023 hPa,88 %
2024-11-10 11:00:00,12 °C,8.1 °C,—,0 mm,33 km/h,—,1023 hPa,77 %
2024-11-09 06:00:00,11.6 °C,8.6 °C,—,0 mm,9 km/h,25.9 km/h,1026.9 hPa,82 %
2024-11-09 07:00:00,11 °C,8 °C,—,0 mm,11 km/h,22.2 km/h,1026 hPa,82 %
2024-11-09 08:00:00,13 °C,9.1 °C,—,0 mm,9 km/h,—,1027 hPa,77 %
2024-11-09 09:00:00,12.9 °C,9 °C,—,0 mm,9 km/h,—,1027 hPa,77 %
2024-11-09 10:00:00,16 °C,8 °C,—,0 mm,22 km/h,—,1026 hPa,59 %
2024-11-09 11:00:00,16 °C,6.1 °C,—,0 mm,26 km/h,—,1026 hPa,52 %
2024-11-08 06:00:00,10.4 °C,8 °C,—,0 mm,15 km/h,27.8 km/h,1030.1 hPa,85 %
2024-11-08 07:00:00,12 °C,9 °C,—,0 mm,11 km/h,27.8 km/h,1030 hPa,82 %
2024-11-08 08:00:00,14 °C,9 °C,—,0 mm,19 km/h,—,1030 hPa,72 %
2024-11-08 09:00:00,13.8 °C,9 °C,—,0 mm,18 km/h,—,1030.3 hPa,73 %
2024-11-08 10:00:00,17 °C,8.9 °C,—,0 mm,28 km/h,—,1029 hPa,59 %
